steamid,publisherclass,copiessold
1969870,Indie,1132246
293760,Indie,399802
858810,Indie,643943
330020,AA,1043833
242860,Indie,997810
2221490,AAA,849087
780310,Indie,580400
2322560,Indie,1520168
282140,Indie,1110936
667970,Indie,439404
1337520,AA,907421
327030,AA,1030416
57300,Indie,1579130
311340,AA,1290631
313160,AA,783508
410340,Indie,291776
548570,AAA,335888
756800,AA,665337
326460,Indie,2194189
434170,Indie,654751
247080,Indie,1698898
2000950,AAA,476471
1338770,AA,477374
413410,AA,1009221
261030,AA,1050545
368070,AA,736499
1455840,Indie,1072759
1942660,AAA,234986
601050,AA,179956
201230,AA,307827
1922560,AAA,1031154
736220,AA,505623
1119730,Indie,730672
955900,AA,694526
473690,AA,481201
1336490,Indie,638668
450540,Indie,529077
629820,AA,459167
330830,AAA,563447
973580,AA,680541
322170,Indie,5407148
212070,AA,1734246
641320,Indie,820767
299740,Indie,941069
1942280,Indie,2964770
710920,AA,559708
1256670,Indie,462684
436150,Indie,2221058
509980,Indie,618093
32430,AA,1025695
1401590,Indie,376436
1592190,Indie,298878
223470,Indie,4121490
471710,Indie,3427785
446800,AA,526764
585420,Indie,757167
2080690,Indie,642538
673950,Indie,720521
1577120,Indie,369159
1324130,Indie,380076
253710,AA,4278107
1034140,Indie,478289
1433140,Indie,276729
24780,AAA,1059601
1629520,Indie,857314
838380,AA,325537
226860,Indie,471243
1974050,Indie,897106
736190,Indie,1774833
115320,AAA,572554
1496790,AAA,377522
428690,Indie,839368
730310,AA,229834
211500,Indie,2765272
1498570,Indie,263559
298630,AA,1254595
201870,AAA,1168582
589290,Indie,854102
1135690,AA,699440
1451940,Indie,1059716
56437,AA,442656
1126320,Indie,846233
2141910,Indie,510425
2231380,AAA,684645
375910,AAA,291206
736260,Indie,852328
9200,AAA,995915
1359090,Indie,1102248
597820,AA,383601
824270,Indie,1616868
351970,AA,445619
653530,Indie,661885
332310,AA,737358
683320,AA,1269188
1938010,AAA,156131
304240,AAA,982533
1520470,Indie,1437728
1568590,Indie,15989526
636480,Indie,965237
1089980,Indie,811388
1042550,Indie,361466
233720,AA,1964551
590380,Indie,851718
774861,Indie,1198969
1257290,AA,150808
973760,AAA,560018
342200,Indie,902507
245170,Indie,1432286
1509960,Indie,2741101
554620,AA,987379
1084160,AA,245364
1277400,AAA,362118
378540,AA,479543
437920,Indie,1118097
250760,Indie,682553
631510,AAA,601759
1385380,AAA,519359
610370,AA,312285
334230,Indie,1368207
346900,Indie,4727640
448280,Indie,508201
1041720,AA,306632
396750,Indie,680321
257420,AA,377314
1094520,Indie,1041567
690640,Indie,746643
204880,Indie,813091
274940,Indie,1326629
1182900,AA,318858
15620,AA,922651
453090,Indie,274455
1343370,AA,1003131
1017180,Indie,851212
1361510,Indie,540815
445220,Indie,487031
503940,AA,302150
271240,Indie,444341
911400,Indie,500750
1611910,Indie,306115
489520,Indie,2882273
1605220,AA,363548
1222690,AAA,867091
350080,AAA,1043496
257850,Indie,711861
494840,AA,493186
1238000,AAA,564748
207140,AA,2088292
237930,AA,1569375
248820,AA,1691016
1259980,Indie,521907
282800,Indie,617209
35700,Indie,1646862
714010,Indie,18113479
1144400,Indie,435689
1284190,Indie,577087
447530,Indie,905344
584400,AA,718493
391720,Indie,1224832
451340,Indie,615177
519860,Indie,597564
898750,AAA,151266
257350,Indie,828657
606150,AA,957093
768200,Indie,377728
1271700,Indie,361652
2138710,Indie,339720
573100,AA,488285
226840,AAA,596577
57690,Indie,1161751
1296610,Indie,558467
493490,Indie,1040884
885970,AA,403599
951440,Indie,555419
399810,AA,393959
1295510,AA,275548
1189490,Indie,980356
25000,Indie,395288
927380,AA,502193
241600,Indie,1537738
361280,Indie,1278943
323850,Indie,1654985
234080,AA,491429
572410,AAA,317014
443110,Indie,380710
238370,AAA,1231051
512900,AA,1037458
337320,Indie,793821
339340,AAA,626099
388410,AA,1200466
644830,AA,342844
1367080,AA,483332
719640,Indie,169095
1637320,AA,706414
1372280,Indie,269075
817540,AA,152779
418530,Indie,484980
448510,Indie,1416680
413420,AA,799512
939850,Indie,410964
1254120,Indie,1905324
1350650,Indie,810964
2290180,Indie,407240
895870,Indie,394230
438490,AA,332789
622650,Indie,987554
1066890,Indie,225398
19680,AAA,809419
234670,AA,726839
1874880,AA,305362
1533390,Indie,412601
562810,AAA,1058045
1369630,Indie,649328
321360,Indie,280795
1158850,AAA,183027
694280,AA,335714
593600,AA,493033
501300,AA,946585
903950,Indie,339490
2600,AAA,658566
1090630,AA,517838
784150,Indie,367363
434650,Indie,1450483
1056960,AAA,453212
481510,Indie,329386
33220,AAA,536251
1012790,Indie,354675
1113120,Indie,268832
281610,AA,329751
1150440,AA,233684
412830,AA,558681
39140,AA,1177789
10150,AAA,810957
607890,AA,288928
300,AAA,1989189
48220,AAA,545158
520440,AA,451608
1944790,Indie,304180
1167450,AA,195132
238430,Indie,944110
331600,AA,459295
578620,AA,538241
515180,AA,350192
294860,AA,842245
469600,Indie,527838
1016120,AAA,153063
283640,Indie,899877
223100,AA,514482
953490,AA,553435
872670,Indie,484427
760060,AA,323523
333600,Indie,1077284
290790,Indie,264316
1118200,Indie,2373204
249130,AA,1080173
329430,AAA,686979
496240,Indie,424633
290340,Indie,648727
834530,AA,634056
700600,AA,319510
1065310,AA,238790
1483870,Indie,3537316
242550,Indie,480142
1184050,AAA,191847
312530,Indie,1285330
493900,AA,460891
247000,Indie,504359
236150,Indie,444901
1671200,Indie,664203
242680,Indie,669631
1284410,AAA,1575609
677120,Indie,551490
692890,Indie,398294
655500,Indie,239699
728530,AA,171151
314650,Indie,300858
543460,AA,333239
371970,Indie,451344
287450,AAA,1025129
228300,AA,635113
456670,Indie,379767
266510,Indie,672095
415200,AA,520001
663090,Indie,263294
1238060,AAA,533678
532210,AA,1954825
1473480,Indie,461184
936790,AA,208945
986130,Indie,418621
233270,AAA,1310418
1594320,Indie,295207
868360,Indie,360118
690040,Indie,446725
1588530,Indie,194322
677160,Indie,367947
212480,AA,826772
429050,Indie,660610
236690,AA,483565
427730,Indie,1756576
877200,Indie,352222
979110,Indie,424045
1718570,AA,428604
230190,Indie,465363
960990,AA,687356
799600,Indie,409025
1286350,Indie,495584
363970,Indie,5090906
248390,Indie,673787
673880,Indie,425247
552100,Indie,660714
394690,Indie,634991
682990,Indie,574281
447820,Indie,791990
529180,AA,332412
1805480,AA,141807
42960,AAA,706352
219890,Indie,978667
718670,Indie,486634
1515950,AAA,4525495
967050,Indie,2231397
638230,AA,729149
1079800,Indie,304625
625960,Indie,561478
1276790,Indie,383946
551170,Indie,272014
1016800,Indie,406519
1676840,AA,327929
553420,Indie,310128
601840,AA,584268
1244090,Indie,197231
790820,AA,233044
1139980,Indie,626334
544810,Indie,1167243
1449690,AA,405149
536270,AA,485418
1106840,Indie,680968
1255630,AAA,233651
1331550,Indie,343649
1740720,AA,390716
1227890,Indie,670986
1954200,Indie,350191
1005300,Indie,307801
292120,AA,859467
10680,AA,1081380
312670,AA,694292
1335790,Indie,532461
339800,Indie,714180
1127500,Indie,884800
847370,AAA,565327
1336980,AA,141034
239350,Indie,1168658
113200,Indie,4347526
409720,AAA,1049237
933820,Indie,515341
420530,Indie,702868
1533420,AA,364127
270150,Indie,1067592
962730,Indie,343473
1608070,AA,157699
1243830,Indie,313556
1649080,AA,191298
253250,Indie,339846
1262580,AAA,1001626
297000,Indie,1097427
607080,AAA,228353
368340,Indie,437661
274520,Indie,888159
258970,AA,647774
1377380,Indie,356900
242640,Indie,758393
459220,AAA,556254
1099410,AA,161894
1631080,Indie,109987
1017900,AAA,745478
1761390,AA,281297
311730,AA,801981
249050,AA,1338192
373930,AA,299806
586140,Indie,415662
335240,Indie,2946588
1976440,Indie,156328
1649240,AA,118697
1708520,AA,308483
272510,AA,389308
839770,Indie,261561
268650,Indie,319500
824550,AAA,127972
597170,Indie,629211
732690,Indie,321499
1030210,AA,272147
344760,Indie,590683
333420,Indie,503588
67370,AAA,638295
1150080,Indie,218355
2066020,Indie,820039
1307890,Indie,383999
704450,Indie,484397
2375550,AA,144999
34870,AA,1304180
240760,Indie,338366
1129540,Indie,533307
1669980,AA,851556
1477590,Indie,102771
1239080,Indie,317246
1948980,Indie,527694
777130,Indie,272658
384190,AA,718129
1368910,Indie,627404
375480,Indie,261433
35720,Indie,2179392
405310,AA,416668
1072420,AA,156689
1850740,Indie,596997
814000,AA,124738
352720,Indie,263305
1543030,Indie,294545
882790,Indie,529913
1262560,AAA,674578
1419170,Indie,1425138
1928420,Indie,3352462
1054490,Indie,456419
1190970,AA,184482
45740,AA,717001
21100,AA,823838
1201240,Indie,645584
298050,Indie,273711
304930,Indie,31045754
1071870,Indie,779180
363680,AA,279783
17480,AAA,726184
350640,Indie,735132
19900,AAA,1317837
600750,Indie,86531
587620,AAA,396489
6000,AA,1104896
774801,Indie,646540
681280,Indie,416576
1288320,AA,204942
1061910,AA,335765
960690,AA,358238
321960,AAA,276966
1062160,Indie,671997
1881700,Indie,224884
774171,Indie,5324685
985890,Indie,371284
377840,AA,445363
882100,AAA,626188
9420,AA,806800
1295500,AA,130823
1262240,AAA,632545
1372110,AAA,177336
304030,Indie,850604
1611600,Indie,185753
536220,AA,479559
242700,AA,819480
894020,AA,490865
897450,AA,458457
597180,Indie,146838
843380,Indie,2895054
1782120,Indie,330812
300380,Indie,539429
237990,Indie,812275
206440,Indie,1580719
2071280,AA,344321
1962660,AAA,128910
423230,Indie,567829
482400,AA,164758
1194630,Indie,326389
521890,AA,466752
397950,AA,827388
464060,AA,560284
4920,AA,1092175
1607680,Indie,338251
1970580,Indie,414771
867210,AA,321298
